#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-07-14T23:30:44 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ578819ef7d02	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/AJ/138/1003/table3
#-nav=cat:J/AJ/138/1003&tab:{J/AJ/138/1003/table3}&key:source=J/AJ/138/1003/table3&HTTPPRM:&&-ref=VIZ578819ef7d02&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=RAJ2000&-out=DEJ2000&-out=[3.6]&-out=[4.5]&-out=Class&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/138/1003/table3
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/138/1003/table3
#-order=I
#-out=RAJ2000
#-out=DEJ2000
#-out=[3.6]
#-out=[4.5]
#-out=Class
#

#RESOURCE=yCat_51381003
#Name: J/AJ/138/1003
#Title: IR photometry of massive LMC stars (Bonanos+, 2009)
#Table	J_AJ_138_1003_table3:
#Name: J/AJ/138/1003/table3
#Title: 0.3-24 micron photometry of 1268 massive stars in the LMC
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	[3.6]	(F6.3)	? Spitzer/IRAC 3.6 micron band magnitude	[ucd=phot.mag;em.IR.3-4um]
#Column	[4.5]	(F6.3)	? Spitzer/IRAC 4.5 micron band magnitude	[ucd=phot.mag;em.IR.4-8um]
#Column	Class	(a32)	MK Spectral type and object type	[ucd=src.spType]
RAJ2000	DEJ2000	[3.6]	[4.5]	Class
deg	deg	mag	mag	
----------	----------	------	------	--------------------------------
071.384376	-70.253029	14.121	13.618	WN3b
071.386543	-69.467003	13.711	13.711	B1 III
071.422752	-67.570526	12.601	12.411	B extr
071.768539	-67.114746	10.804	10.744	B1 Ia+
071.864998	-70.562698	13.723	13.743	O9 II
072.329376	-69.431831	11.100	11.052	B5 Ia
072.400900	-69.348400	14.918	14.511	WN2b(h)
072.464211	-69.201195	12.811	12.811	O6.5 III
072.466415	-67.687469	13.508	13.504	O9 Ib
072.491707	-70.350777	13.397	13.238	B5 II
072.578834	-67.660561	11.606	11.565	O9.7 Ib
072.878082	-67.473000	14.147	14.156	B0 II
072.946045	-69.317864	      	13.568	O9.7 Ib
072.994751	-68.773361	14.859	14.826	B0 n
073.002747	-69.347145	15.185	15.041	O6 V
073.010002	-69.342583	14.728	14.558	O7.5 Vz
073.038002	-69.343254	13.918	13.880	O7 II:
073.049499	-69.340340	14.962	14.852	O9.5 V
073.075920	-69.336586	13.132	13.104	O8 II((f))
073.079544	-66.731476	11.521	11.503	B1.5 Ia
073.088913	-69.341499	14.176	14.170	O7 V
073.126121	-70.039528	14.446	14.462	B1 III
073.199539	-68.794113	14.123	14.139	O7.5 III((f))
073.213333	-66.507637	13.210	13.192	B2 III
073.239128	-66.687088	13.345	12.877	WN4b
073.269875	-67.133415	14.029	13.965	O9 III
073.277084	-68.056335	14.592	14.603	O6.5 V
073.362167	-68.499771	13.071	13.083	B0.5 I
073.375122	-66.924499	10.725	10.685	B2.5 Ia
073.390541	-66.902084	13.405	13.339	B3 II
073.395622	-66.937973	12.971	12.966	B0.7 II
073.430336	-68.714806	10.611	10.615	B5 Ia+
073.487831	-69.210243	13.816	13.801	B1 III
073.504837	-69.996521	12.853	12.811	O9 V
073.515289	-69.199059	13.033	      	O6 V((f))
073.527336	-65.589561	12.790	12.827	B0.5 I
073.559372	-69.210136	 7.204	 7.548	G5 Ia
073.559418	-69.253692	13.039	12.975	O9 I
073.616900	-69.213900	14.540	14.142	WN2b
073.632874	-67.256836	11.772	11.713	B1.5 Ia
073.700539	-66.373138	13.414	13.426	B3 II
073.732628	-68.362335	14.491	14.415	B0 II
073.738960	-66.752441	10.471	10.412	B8 Ia
073.773872	-66.532501	13.731	13.648	O7 III
073.790581	-67.527367	13.966	13.970	B2 II
073.812164	-67.189919	12.770	12.689	O3f* + O EB
073.815872	-66.810089	13.934	13.924	B1 Ib
073.823586	-66.459938	14.550	14.526	B3 II
073.824455	-66.530479	      	      	B0: n (Be-Fe)
073.843124	-66.471916	13.132	13.073	B0.5 Ia
073.868042	-66.494888	14.692	14.695	B2 III Binary (SB1)
073.870544	-69.191170	12.942	12.885	B0.5 III
073.872581	-66.386665	12.770	12.811	O9.7 Ib
073.874794	-66.510414	15.260	15.175	B2.5 III
073.880623	-67.500748	12.225	11.678	WN4b
073.887085	-66.542030	15.508	15.448	B1-2 +early-B Binary (SB2)
073.887207	-66.424362	13.579	13.571	B1 Ib
073.894669	-69.809753	14.799	14.805	B1 V
073.949669	-68.644440	14.361	14.377	O7 (f)
073.951584	-66.494827	13.248	13.083	B1e Binary
073.954582	-66.460861	14.430	14.426	B0.5 Ib
073.956039	-66.434303	15.820	15.765	B1.5 V Binary (SB2)
073.965126	-66.365974	15.162	15.311	B0.2 V
073.968124	-66.570389	14.780	14.805	O5.5 V((f))
073.978332	-66.461609	15.424	15.343	B2 III
073.980125	-66.365891	15.489	15.523	B1.5 V
073.981247	-66.472305	13.225	13.213	OC9.5 II Binary (SB1)
073.999206	-65.974915	14.116	14.094	O6 V((f))
074.003754	-66.437889	13.538	13.565	O6.5 II(f)
074.005669	-66.347557	14.984	15.048	B2 III Binary (SB1)
074.012001	-69.455971	13.568	13.137	WC4
074.019211	-66.399384	14.992	14.986	O7 V((f))
074.020584	-66.523560	14.457	14.350	B2 (Be-Fe) Binary (SB1)
074.024414	-66.365219	15.660	15.681	B1.5 III
074.038330	-66.452354	14.969	15.240	B0.5 V
074.043541	-69.260635	12.152	12.058	B0.5 Ia
074.045997	-66.473305	14.096	14.071	B0 IIIn
074.046211	-66.292496	14.048	13.104	WC4
074.048836	-66.533089	13.579	13.623	O8-9 V-III((f)) Binary (SB2)
074.064499	-66.461525	13.755	13.675	A0 II
074.068794	-69.993691	13.370	13.336	B0 n
074.072044	-66.517670	13.104	13.094	O8 Ib (f)
074.072205	-66.296669	13.978	13.989	B2 III 286
074.072670	-66.458275	 8.146	 8.366	early K I
074.073212	-66.305145	12.708	12.661	B2.5 Iab
074.077621	-66.476997	15.960	15.993	B0.5 V Binary (SB1)
074.081207	-66.460526	13.423	13.199	B0.5 (Be-Fe)
074.085792	-66.453888	13.071	13.073	B1 Ib
074.093041	-66.467941	13.816	13.801	B0 III Binary (SB1)
074.097038	-66.453331	 7.473	 7.535	early K I
074.097961	-66.497688	11.633	11.581	B3 Ia
074.106163	-66.442558	14.513	14.530	B0 III Binary (SB1)
074.119835	-66.479752	15.970	16.035	O9.5 V
074.123291	-66.472359	14.568	14.570	O7.5 V Binary (SB1)
074.123833	-66.360695	14.503	14.542	O5 Vn((f))
074.127419	-66.302391	12.306	12.261	A7 II
074.129250	-66.477997	14.728	14.718	O9 V Binary (SB1)
074.137207	-66.481140	15.212	15.225	B1 III
074.139916	-66.391106	12.902	12.795	B0.2 Ia
074.142670	-66.481171	13.674	13.513	O9.5: IV
074.143669	-66.489304	12.648	12.486	O6:: V:p
074.144295	-66.473999	11.891	11.973	WC4(+O9.5II:)
074.145790	-66.422302	15.246	15.225	O9.5: V
074.151291	-66.490471	15.015	14.922	O7-O8: V:
074.158836	-66.398384	14.845	      	B0.2 V
074.163086	-66.481781	15.862	15.887	O9 V
074.163254	-66.413887	14.767	14.826	O9.5 Vn
074.163917	-66.483055	15.222	15.327	B0.5 V
074.164040	-66.491524	12.662	12.771	O9: III:
074.166039	-66.415085	15.533	15.691	O9.5 III
