|xpos	|ypos	|ra	|dec	|zpmag	|zprms	|flux	|sigflux	|snr	|chi	|sharp	|fluxap	|sigfluxap	|nbadap	|MJD	|HJD	|FWHMSEX                   |
|r	|r	|r	|r	|r	|r	|r	|r	|r	|r	|r	|r	|r	|i	|r	|r	|r                         |
|pix	|pix	|deg	|deg	|mag	|mag	|DN	|DN	|	|	|	|DN	|DN	|	|days	|days	|arcsec                    |
1030.78	929.71	5.08723	59.299827	27.071	0.078	476.136	25.8209	18.44	1.058	0.106	410.1855777	61.6606701	0	55068.42367	2455068.925	2.15
1041.42	923.21	5.08723	59.299827	27.07	0.078	514.584	33.398	15.41	1.423	0.14	445.4338117	59.9915886	0	55068.47442	2455068.976	2.15
1064.65	1054.68	5.08723	59.299827	27.068	0.035	35.9151	17.5383	2.05	0.947	0.149	14.4505703	56.7393162	0	55182.10499	2455182.607	2.55
1073.02	1051.29	5.08723	59.299827	27.068	0.035	-18.3341	22.2323	-0.82	1.036	-2.528	-17.5025578	68.371604	0	55182.14066	2455182.643	2.65
1075.49	1048.12	5.08723	59.299827	27.068	0.038	35.0535	22.8249	1.54	1.182	-3.978	46.6421617	62.6315558	0	55182.17708	2455182.679	2.55
1072.18	1041.73	5.08723	59.299827	27.067	0.037	-56.4105	42.231	-1.34	1.458	-1.058	-128.2437328	85.0533695	0	55182.24007	2455182.742	2.75
1072.77	1038.17	5.08723	59.299827	27.067	0.042	17.3956	38.8146	0.45	1.191	7.755	151.9709267	92.6220832	0	55182.27529	2455182.778	2.85
1072.75	1033.79	5.08723	59.299827	27.068	0.044	118.771	44.7064	2.66	1.173	0.928	157.5221277	110.4898139	0	55182.31123	2455182.814	2.75
1071.07	1030.19	5.08723	59.299827	27.067	0.05	22.2905	54.2072	0.41	1.023	4.746	69.6872074	131.3783495	0	55182.34787	2455182.85	3.25
1096.9	957.73	5.08723	59.299827	27.068	0.043	-5.34516	19.7762	-0.27	1.012	10.558	90.6824649	66.8136746	0	56578.38672	2456578.89	2.35
1095.76	979.42	5.08723	59.299827	27.068	0.044	18.423	20.9712	0.88	1.075	-2.875	-9.9631998	64.8154583	0	56578.42594	2456578.929	2.35
1079.78	957.62	5.08723	59.299827	27.063	0.05	36.6384	57.0336	0.64	1.062	4.573	-170.670419	111.439283	0	56650.12354	2456650.626	4.05
1075.55	992.08	5.08723	59.299827	27.067	0.044	36.6812	46.1934	0.79	1.259	-5.216	-104.3817458	101.6900015	0	56655.10223	2456655.604	3.15
1078.99	988.88	5.08723	59.299827	27.067	0.045	31.3509	35.8589	0.87	0.942	1.378	-25.3250363	104.229758	0	56655.13466	2456655.636	2.95
1074.55	954.36	5.08723	59.299827	27.068	0.045	412.185	45.4074	9.08	1.083	-0.047	543.8989698	107.3399886	0	56657.09685	2456657.598	3.35
1077.42	989.08	5.08723	59.299827	27.068	0.044	529.351	35.5067	14.91	1.176	0.241	638.6206997	85.583393	0	56657.13672	2456657.638	2.55
1083.01	982.16	5.08723	59.299827	27.065	0.073	-40.8391	55.3844	-0.74	1.104	3.549	-100.1887963	155.8854043	0	56907.24814	2456907.75	2.35
1097.53	1013.33	5.08723	59.299827	27.067	0.067	-76.5967	41.4536	-1.85	1.333	-2.089	44.1181463	100.7431344	0	56913.47892	2456913.981	2.05
1096.18	1012.35	5.08723	59.299827	27.062	0.071	-97.7505	30.5667	-3.2	0.867	0.185	-204.1540668	105.1531199	0	56913.51227	2456914.015	1.95
1094.76	1005.47	5.08723	59.299827	26.354	0.114	99999999	-99.999	inf	0	0	-614.228699	612.5318464	0	56917.4984	2456918.001	2.35
1093.4	1001.37	5.08723	59.299827	26.655	1.181	1883.47	151.578	12.43	1.146	-0.128	1076.958026	342.9367958	0	56920.49168	2456920.994	3.05
1094.89	997.17	5.08723	59.299827	27.067	0.053	322.305	56.7284	5.68	1.369	-1.18	130.8283248	145.9256375	0	56920.5219	2456921.025	2.55
1095.58	1002.88	5.08723	59.299827	28.088	0.055	691.066	91.9026	7.52	1.564	0.632	621.6122704	215.8471552	0	56925.48542	2456925.988	2.05
1096.21	998.94	5.08723	59.299827	26.527	1.399	-37.4889	36.2353	-1.03	1.042	1.31	-246.8291931	102.9873483	0	56925.51464	2456926.018	2.15
