#\*l[\oA]	F(\*l)
 10472.0  9.66555e-01
 10472.6  9.37382e-01
 10473.3  8.50560e-01
 10473.9  9.09602e-01
 10474.5  9.68652e-01
 10475.2  9.74069e-01
 10475.8  9.75083e-01
 10476.4  1.04567e+00
 10477.1  1.02278e+00
 10477.7  1.01508e+00
 10478.3  9.99206e-01
 10479.0  9.74849e-01
 10479.6  9.12962e-01
 10480.2  1.02101e+00
 10480.9  9.64108e-01
 10481.5  8.99904e-01
 10482.2  8.69432e-01
 10482.8  9.48685e-01
 10483.4  9.76554e-01
 10484.1  9.24119e-01
 10484.7  9.04989e-01
 10485.3  1.00867e+00
 10486.0  1.08861e+00
 10486.6  1.10777e+00
 10487.2  1.07068e+00
 10487.9  1.01856e+00
 10488.5  1.06344e+00
 10489.1  1.06922e+00
 10489.8  1.13388e+00
 10490.4  1.16820e+00
 10491.0  1.13166e+00
 10491.7  1.14296e+00
 10492.3  1.11165e+00
 10492.9  1.04096e+00
 10493.6  1.13014e+00
 10494.2  1.13084e+00
 10494.8  1.10781e+00
 10495.5  1.04329e+00
 10496.1  1.11211e+00
 10496.7  1.12041e+00
 10497.4  1.20831e+00
 10498.0  1.44182e+00
 10498.6  1.53099e+00
 10499.3  1.55660e+00
 10499.9  1.59878e+00
 10500.6  1.51448e+00
 10501.2  1.49760e+00
 10501.8  1.49733e+00
 10502.5  1.49528e+00
 10503.1  1.49844e+00
 10503.7  1.49288e+00
 10504.4  1.49733e+00
 10505.0  1.48325e+00
 10505.6  1.26261e+00
 10506.3  1.07160e+00
 10506.9  9.95687e-01
 10507.5  9.33630e-01
 10508.2  9.68454e-01
 10508.8  1.01330e+00
 10509.4  1.01436e+00
 10510.1  1.00762e+00
 10510.7  9.20727e-01
 10511.3  9.46492e-01
 10512.0  9.13300e-01
 10512.6  1.03738e+00
 10513.2  1.07787e+00
 10513.9  9.87054e-01
 10514.5  9.40207e-01
 10515.1  1.04172e+00
 10515.8  1.07458e+00
 10516.4  1.06068e+00
 10517.1  9.84269e-01
 10517.7  1.04937e+00
 10518.3  1.03628e+00
 10519.0  1.02081e+00
 10519.6  1.00369e+00
 10520.2  9.88910e-01
