#\*l[\oA]	F(\*l)
 10431.7  9.22387e-01
 10432.4  9.21325e-01
 10433.0  9.27074e-01
 10433.6  9.33651e-01
 10434.3  9.44049e-01
 10434.9  9.38452e-01
 10435.5  9.55488e-01
 10436.2  9.53602e-01
 10436.8  9.47538e-01
 10437.4  9.49325e-01
 10438.1  9.43075e-01
 10438.7  9.47701e-01
 10439.3  9.40195e-01
 10440.0  9.34438e-01
 10440.6  9.36160e-01
 10441.2  9.41995e-01
 10441.9  9.37095e-01
 10442.5  9.50272e-01
 10443.1  9.52691e-01
 10443.8  9.50878e-01
 10444.4  9.56510e-01
 10445.0  9.60328e-01
 10445.7  9.62938e-01
 10446.3  9.55434e-01
 10446.9  9.55642e-01
 10447.6  9.62391e-01
 10448.2  9.78711e-01
 10448.8  9.75788e-01
 10449.5  9.69468e-01
 10450.1  9.68289e-01
 10450.7  9.75449e-01
 10451.4  9.85157e-01
 10452.0  1.00162e+00
 10452.7  1.01055e+00
 10453.3  1.00822e+00
 10453.9  9.89214e-01
 10454.6  1.01311e+00
 10455.2  1.02125e+00
 10455.8  1.02994e+00
 10456.5  1.02833e+00
 10457.1  1.01925e+00
 10457.7  1.02158e+00
 10458.4  1.01967e+00
 10459.0  1.01231e+00
 10459.6  1.01184e+00
 10460.3  1.01715e+00
 10460.9  1.01581e+00
 10461.5  1.01214e+00
 10462.2  1.00423e+00
 10462.8  1.00175e+00
 10463.4  9.94894e-01
 10464.1  9.87116e-01
 10464.7  9.83487e-01
 10465.3  9.81656e-01
 10466.0  9.83901e-01
 10466.6  9.86406e-01
 10467.2  9.87938e-01
 10467.9  9.93387e-01
 10468.5  9.93380e-01
 10469.1  9.80405e-01
 10469.8  9.82756e-01
 10470.4  9.89912e-01
 10471.0  9.97629e-01
 10471.7  1.00052e+00
 10472.3  9.97430e-01
 10472.9  9.89922e-01
 10473.6  9.84982e-01
 10474.2  9.77938e-01
 10474.8  9.84825e-01
 10475.5  9.81240e-01
 10476.1  9.81443e-01
 10476.8  9.86041e-01
 10477.4  9.84624e-01
 10478.0  9.68743e-01
 10478.7  9.77003e-01
 10479.3  9.77286e-01
 10479.9  9.99036e-01
 10480.6  9.85818e-01
 10481.2  9.74815e-01
 10481.8  9.80084e-01
 10482.5  9.85422e-01
 10483.1  9.80442e-01
 10483.7  9.88816e-01
 10484.4  9.95973e-01
 10485.0  9.98195e-01
 10485.6  1.00259e+00
 10486.3  1.00788e+00
 10486.9  1.01318e+00
 10487.5  1.01445e+00
 10488.2  1.02135e+00
 10488.8  1.02466e+00
 10489.4  1.03274e+00
 10490.1  1.03366e+00
 10490.7  1.03589e+00
 10491.3  1.03700e+00
 10492.0  1.03325e+00
 10492.6  1.01908e+00
 10493.2  1.00994e+00
 10493.9  1.00106e+00
 10494.5  9.99801e-01
 10495.1  9.91043e-01
 10495.8  1.00132e+00
 10496.4  1.00962e+00
 10497.0  1.02533e+00
 10497.7  1.07286e+00
 10498.3  1.12742e+00
 10499.0  1.17745e+00
 10499.6  1.21993e+00
 10500.2  1.26779e+00
 10500.9  1.29190e+00
 10501.5  1.33777e+00
 10502.1  1.38921e+00
 10502.8  1.37002e+00
 10503.4  1.23520e+00
 10504.0  1.11296e+00
 10504.7  1.06263e+00
 10505.3  1.03027e+00
 10505.9  1.00969e+00
 10506.6  9.93137e-01
 10507.2  9.87324e-01
 10507.8  9.94521e-01
 10508.5  1.00091e+00
 10509.1  1.00638e+00
 10509.7  1.01089e+00
 10510.4  1.01056e+00
 10511.0  1.00299e+00
 10511.6  9.94552e-01
 10512.3  9.97885e-01
 10512.9  1.00200e+00
 10513.5  1.00243e+00
 10514.2  9.97490e-01
 10514.8  9.90157e-01
