#\*l[\oA]	F(\*l)
 10431.6  9.88523e-01
 10432.2  9.89113e-01
 10432.8  9.96082e-01
 10433.5  9.96067e-01
 10434.1  9.99874e-01
 10434.7  9.91816e-01
 10435.4  9.99150e-01
 10436.0  9.96489e-01
 10436.6  1.00028e+00
 10437.3  9.95325e-01
 10437.9  1.00461e+00
 10438.5  9.99042e-01
 10439.2  9.87954e-01
 10439.8  1.00178e+00
 10440.4  1.00307e+00
 10441.1  9.98504e-01
 10441.7  1.00154e+00
 10442.4  1.00246e+00
 10443.0  9.90486e-01
 10443.6  9.94892e-01
 10444.3  9.97339e-01
 10444.9  1.00381e+00
 10445.5  9.92093e-01
 10446.2  1.00038e+00
 10446.8  1.00361e+00
 10447.4  9.90467e-01
 10448.1  1.00425e+00
 10448.7  1.01193e+00
 10449.3  1.00094e+00
 10450.0  1.00448e+00
 10450.6  1.00746e+00
 10451.2  1.00706e+00
 10451.9  1.00411e+00
 10452.5  1.01077e+00
 10453.1  1.00421e+00
 10453.8  1.00643e+00
 10454.4  1.00487e+00
 10455.0  1.00145e+00
 10455.7  1.00719e+00
 10456.3  9.98576e-01
 10456.9  9.99151e-01
 10457.6  1.01851e+00
 10458.2  1.00611e+00
 10458.8  1.00441e+00
 10459.5  1.00676e+00
 10460.1  1.00690e+00
 10460.7  1.00997e+00
 10461.4  9.99091e-01
 10462.0  9.86082e-01
 10462.6  1.00037e+00
 10463.3  1.00402e+00
 10463.9  9.95416e-01
 10464.6  1.00893e+00
 10465.2  9.91155e-01
 10465.8  1.00585e+00
 10466.5  9.95955e-01
 10467.1  9.94807e-01
 10467.7  9.99829e-01
 10468.4  1.00185e+00
 10469.0  9.93080e-01
 10469.6  9.93156e-01
 10470.3  1.00286e+00
 10470.9  9.93348e-01
 10471.5  1.00275e+00
 10472.2  1.00309e+00
 10472.8  9.98885e-01
 10473.4  9.91266e-01
 10474.1  1.00375e+00
 10474.7  9.99114e-01
 10475.3  1.00466e+00
 10476.0  9.98998e-01
 10476.6  1.00549e+00
 10477.2  9.95172e-01
 10477.9  9.93167e-01
 10478.5  9.96633e-01
 10479.1  9.73608e-01
 10479.8  9.98047e-01
 10480.4  9.97687e-01
 10481.0  9.98782e-01
 10481.7  9.99632e-01
 10482.3  1.00224e+00
 10482.9  9.98625e-01
 10483.6  9.96399e-01
 10484.2  1.00177e+00
 10484.8  1.00412e+00
 10485.5  1.01238e+00
 10486.1  9.97935e-01
 10486.8  1.00604e+00
 10487.4  1.00619e+00
 10488.0  9.97001e-01
 10488.7  1.00107e+00
 10489.3  1.00487e+00
 10489.9  1.00454e+00
 10490.6  9.97814e-01
 10491.2  9.93659e-01
 10491.8  1.00472e+00
 10492.5  1.00099e+00
 10493.1  9.98693e-01
 10493.7  9.98846e-01
 10494.4  1.00718e+00
 10495.0  1.01044e+00
 10495.6  1.01116e+00
 10496.3  1.03626e+00
 10496.9  1.04180e+00
 10497.5  1.04876e+00
 10498.2  1.04768e+00
 10498.8  1.04313e+00
 10499.4  1.04534e+00
 10500.1  1.04168e+00
 10500.7  1.03050e+00
 10501.3  1.02741e+00
 10502.0  1.03014e+00
 10502.6  1.03661e+00
 10503.2  1.03956e+00
 10503.9  1.03877e+00
 10504.5  1.05162e+00
 10505.1  1.04857e+00
 10505.8  1.03669e+00
 10506.4  1.01672e+00
 10507.0  1.00727e+00
 10507.7  1.00598e+00
 10508.3  9.94348e-01
 10509.0  1.00543e+00
 10509.6  9.96309e-01
 10510.2  9.93307e-01
 10510.9  1.00079e+00
 10511.5  1.00389e+00
 10512.1  9.84508e-01
