#\*l[\oA]	F(\*l)
 10475.0  9.87132e-01
 10475.6  9.82461e-01
 10476.3  1.00623e+00
 10476.9  1.03173e+00
 10477.5  1.04438e+00
 10478.2  1.02559e+00
 10478.8  1.04415e+00
 10479.4  1.06898e+00
 10480.1  1.05293e+00
 10480.7  1.05375e+00
 10481.3  1.07016e+00
 10482.0  1.06917e+00
 10482.6  1.07510e+00
 10483.2  1.08720e+00
 10483.9  1.11082e+00
 10484.5  1.15812e+00
 10485.1  1.17322e+00
 10485.8  1.17209e+00
 10486.4  1.19223e+00
 10487.1  1.22323e+00
 10487.7  1.24382e+00
 10488.3  1.31202e+00
 10489.0  1.44765e+00
 10489.6  1.55825e+00
 10490.2  1.56366e+00
 10490.9  1.54136e+00
 10491.5  1.54972e+00
 10492.1  1.56195e+00
 10492.8  1.58699e+00
 10493.4  1.62752e+00
 10494.0  1.64721e+00
 10494.7  1.67609e+00
 10495.3  1.68616e+00
 10495.9  1.70864e+00
 10496.6  1.72499e+00
 10497.2  1.74389e+00
 10497.8  1.80974e+00
 10498.5  1.92298e+00
 10499.1  2.19983e+00
 10499.7  2.56749e+00
 10500.4  2.54267e+00
 10501.0  2.18274e+00
 10501.6  1.86637e+00
 10502.3  1.68457e+00
 10502.9  1.63602e+00
 10503.5  1.63703e+00
 10504.2  1.62607e+00
 10504.8  1.60238e+00
 10505.4  1.59852e+00
 10506.1  1.61659e+00
 10506.7  1.60677e+00
 10507.3  1.58555e+00
 10508.0  1.56139e+00
 10508.6  1.54521e+00
 10509.2  1.53520e+00
 10509.9  1.51521e+00
 10510.5  1.48924e+00
 10511.2  1.45644e+00
 10511.8  1.43985e+00
 10512.4  1.43453e+00
 10513.1  1.39152e+00
 10513.7  1.34070e+00
 10514.3  1.30257e+00
 10515.0  1.26560e+00
 10515.6  1.24243e+00
 10516.2  1.21019e+00
 10516.9  1.17686e+00
 10517.5  1.16823e+00
 10518.1  1.17491e+00
 10518.8  1.17328e+00
 10519.4  1.16075e+00
 10520.0  1.15424e+00
 10520.7  1.15325e+00
 10521.3  1.14601e+00
 10521.9  1.15905e+00
 10522.6  1.17793e+00
 10523.2  1.21746e+00
 10523.8  1.25842e+00
 10524.5  1.22357e+00
 10525.1  1.15834e+00
 10525.7  1.13003e+00
 10526.4  1.13713e+00
 10527.0  1.15244e+00
 10527.6  1.13408e+00
 10528.3  1.12699e+00
 10528.9  1.13405e+00
 10529.5  1.13532e+00
 10530.2  1.12944e+00
 10530.8  1.13400e+00
 10531.4  1.15806e+00
 10532.1  1.16622e+00
 10532.7  1.14174e+00
 10533.4  1.12688e+00
 10534.0  1.13998e+00
 10534.6  1.14594e+00
 10535.3  1.13089e+00
 10535.9  1.13281e+00
 10536.5  1.13674e+00
 10537.2  1.13937e+00
 10537.8  1.16603e+00
 10538.4  1.17518e+00
 10539.1  1.15551e+00
 10539.7  1.12812e+00
 10540.3  1.10531e+00
 10541.0  1.11619e+00
 10541.6  1.13628e+00
 10542.2  1.11925e+00
 10542.9  1.11441e+00
 10543.5  1.13544e+00
