#\*l[\oA]	F(\*l)
 10475.0  9.22411e-01
 10475.6  9.35263e-01
 10476.3  9.38479e-01
 10476.9  9.22582e-01
 10477.5  9.62553e-01
 10478.2  9.73627e-01
 10478.8  9.82004e-01
 10479.4  1.00100e+00
 10480.1  1.00098e+00
 10480.7  1.02594e+00
 10481.3  1.03056e+00
 10482.0  1.05114e+00
 10482.6  1.05646e+00
 10483.2  1.08621e+00
 10483.9  1.09797e+00
 10484.5  1.07883e+00
 10485.2  1.06801e+00
 10485.8  1.09171e+00
 10486.4  1.11754e+00
 10487.1  1.14619e+00
 10487.7  1.20507e+00
 10488.3  1.25558e+00
 10489.0  1.33222e+00
 10489.6  1.42675e+00
 10490.2  1.54846e+00
 10490.9  1.68072e+00
 10491.5  1.76156e+00
 10492.1  1.83762e+00
 10492.8  1.87636e+00
 10493.4  1.91877e+00
 10494.0  1.95005e+00
 10494.7  1.96781e+00
 10495.3  1.99307e+00
 10495.9  2.01037e+00
 10496.6  1.98954e+00
 10497.2  2.00337e+00
 10497.8  2.02256e+00
 10498.5  2.03003e+00
 10499.1  2.03790e+00
 10499.7  2.03442e+00
 10500.4  2.02318e+00
 10501.0  1.98562e+00
 10501.6  1.93738e+00
 10502.3  1.93179e+00
 10502.9  1.91207e+00
 10503.6  1.87439e+00
 10504.2  1.82292e+00
 10504.8  1.77869e+00
 10505.5  1.76315e+00
 10506.1  1.76914e+00
 10506.7  1.78511e+00
 10507.4  1.79758e+00
 10508.0  1.78849e+00
 10508.6  1.74554e+00
 10509.3  1.67528e+00
 10509.9  1.58364e+00
 10510.5  1.48735e+00
 10511.2  1.37456e+00
 10511.8  1.29855e+00
 10512.4  1.22824e+00
 10513.1  1.19631e+00
 10513.7  1.17390e+00
 10514.3  1.15197e+00
 10515.0  1.14822e+00
 10515.6  1.15787e+00
 10516.2  1.15777e+00
 10516.9  1.17286e+00
 10517.5  1.15854e+00
 10518.1  1.16586e+00
 10518.8  1.17074e+00
 10519.4  1.15262e+00
 10520.1  1.14631e+00
 10520.7  1.15293e+00
 10521.3  1.16068e+00
 10522.0  1.16062e+00
 10522.6  1.17089e+00
 10523.2  1.17603e+00
 10523.9  1.18154e+00
 10524.5  1.16340e+00
 10525.1  1.15975e+00
