#\*l[\oA]	F(\*l)
 10388.4  1.00690e+00
 10389.1  1.05355e+00
 10389.7  9.63727e-01
 10390.3  1.03041e+00
 10391.0  1.02876e+00
 10391.6  1.05976e+00
 10392.2  1.04263e+00
 10392.9  1.05268e+00
 10393.5  1.00995e+00
 10394.1  9.66396e-01
 10394.8  1.09084e+00
 10395.4  1.13475e+00
 10396.0  1.08014e+00
 10396.7  1.01760e+00
 10397.3  9.63884e-01
 10397.9  1.04673e+00
 10398.6  1.09517e+00
 10399.2  1.08866e+00
 10399.9  1.05421e+00
 10400.5  9.82857e-01
 10401.1  1.00037e+00
 10401.8  9.71078e-01
 10402.4  9.86650e-01
 10403.0  9.55696e-01
 10403.7  9.64417e-01
 10404.3  1.02856e+00
 10404.9  9.90817e-01
 10405.6  1.06426e+00
 10406.2  1.09102e+00
 10406.8  1.00727e+00
 10407.5  1.03192e+00
 10408.1  9.63109e-01
 10408.7  1.03963e+00
 10409.4  9.37978e-01
 10410.0  1.04690e+00
 10410.6  1.00371e+00
 10411.3  1.02581e+00
 10411.9  9.99196e-01
 10412.5  1.01514e+00
 10413.2  1.03950e+00
 10413.8  1.01467e+00
 10414.5  1.05102e+00
 10415.1  9.71600e-01
 10415.7  9.83205e-01
 10416.4  9.37976e-01
 10417.0  1.03723e+00
 10417.6  1.00768e+00
 10418.3  1.04051e+00
 10418.9  9.42640e-01
 10419.5  1.01955e+00
 10420.2  1.04545e+00
 10420.8  1.02860e+00
 10421.4  9.47606e-01
 10422.1  9.93440e-01
 10422.7  1.05688e+00
 10423.3  1.01286e+00
 10424.0  9.52094e-01
 10424.6  1.02494e+00
 10425.2  9.61118e-01
 10425.9  9.99613e-01
 10426.5  9.66519e-01
 10427.1  1.01504e+00
 10427.8  1.00935e+00
 10428.4  1.05768e+00
 10429.0  9.95509e-01
 10429.7  1.01093e+00
 10430.3  9.91978e-01
 10431.0  9.79859e-01
 10431.6  9.85276e-01
 10432.2  1.06848e+00
 10432.9  1.06774e+00
 10433.5  1.03706e+00
 10434.1  1.02799e+00
 10434.8  9.78779e-01
 10435.4  9.61882e-01
 10436.0  8.71977e-01
 10436.7  9.23539e-01
 10437.3  9.66043e-01
 10437.9  9.41524e-01
 10438.6  9.52960e-01
 10439.2  1.06918e+00
 10439.8  1.06259e+00
 10440.5  1.08490e+00
 10441.1  1.04873e+00
 10441.7  1.06340e+00
 10442.4  1.06063e+00
 10443.0  1.11106e+00
 10443.6  1.04374e+00
 10444.3  1.01381e+00
 10444.9  9.78956e-01
 10445.6  1.02442e+00
 10446.2  9.78950e-01
 10446.8  1.05256e+00
 10447.5  1.07963e+00
 10448.1  1.02774e+00
 10448.7  9.93176e-01
 10449.4  8.92640e-01
 10450.0  8.82328e-01
 10450.6  9.59584e-01
 10451.3  9.67991e-01
 10451.9  1.03275e+00
 10452.5  9.73594e-01
 10453.2  9.60162e-01
 10453.8  1.05752e+00
 10454.4  1.02412e+00
 10455.1  1.02859e+00
 10455.7  9.19245e-01
 10456.3  9.66929e-01
 10457.0  1.01896e+00
 10457.6  9.54804e-01
 10458.2  9.76131e-01
 10458.9  9.57208e-01
 10459.5  1.00121e+00
 10460.1  1.02213e+00
 10460.8  1.06315e+00
 10461.4  1.07236e+00
 10462.1  1.10231e+00
 10462.7  1.06746e+00
 10463.3  1.04922e+00
 10464.0  1.00865e+00
 10464.6  9.61636e-01
 10465.2  1.02566e+00
 10465.9  9.73803e-01
 10466.5  1.01237e+00
 10467.1  1.02186e+00
 10467.8  1.02216e+00
 10468.4  9.70113e-01
 10469.0  9.89422e-01
 10469.7  1.02640e+00
 10470.3  9.48012e-01
 10470.9  9.75273e-01
 10471.6  1.06227e+00
 10472.2  9.95122e-01
 10472.8  1.00640e+00
 10473.5  9.19896e-01
 10474.1  9.61597e-01
 10474.7  9.80964e-01
 10475.4  9.14235e-01
 10476.0  9.36147e-01
 10476.7  9.58124e-01
 10477.3  9.50306e-01
 10477.9  9.75609e-01
 10478.6  1.02904e+00
 10479.2  1.02926e+00
 10479.8  9.61485e-01
 10480.5  9.25045e-01
 10481.1  1.02960e+00
 10481.7  1.01541e+00
 10482.4  9.85169e-01
 10483.0  1.02374e+00
 10483.6  9.65647e-01
 10484.3  9.87518e-01
 10484.9  9.76611e-01
 10485.5  9.89172e-01
 10486.2  1.00297e+00
 10486.8  9.69746e-01
 10487.4  1.07386e+00
 10488.1  9.87037e-01
 10488.7  1.04064e+00
 10489.3  1.13332e+00
 10490.0  9.99620e-01
 10490.6  1.01276e+00
 10491.2  9.72500e-01
 10491.9  9.78099e-01
 10492.5  9.23774e-01
 10493.2  9.40223e-01
 10493.8  1.04494e+00
 10494.4  1.03373e+00
 10495.1  9.97594e-01
 10495.7  1.05953e+00
 10496.3  1.01655e+00
 10497.0  9.95417e-01
 10497.6  8.93192e-01
 10498.2  1.07369e+00
 10498.9  1.13033e+00
 10499.5  1.27241e+00
 10500.1  1.14241e+00
 10500.8  1.06691e+00
 10501.4  9.46248e-01
 10502.0  9.10637e-01
 10502.7  8.66750e-01
 10503.3  8.40782e-01
 10503.9  8.17976e-01
 10504.6  7.88753e-01
 10505.2  8.42702e-01
 10505.8  9.27093e-01
 10506.5  9.53426e-01
 10507.1  9.31250e-01
 10507.8  9.81067e-01
 10508.4  9.78537e-01
 10509.0  9.52158e-01
 10509.7  9.85568e-01
 10510.3  9.15051e-01
 10510.9  8.79732e-01
 10511.6  9.57990e-01
 10512.2  9.49360e-01
 10512.8  9.76102e-01
 10513.5  9.69669e-01
 10514.1  1.02945e+00
 10514.7  9.92581e-01
 10515.4  1.04378e+00
 10516.0  9.93006e-01
 10516.6  8.78840e-01
 10517.3  8.95046e-01
 10517.9  8.80935e-01
 10518.5  8.64857e-01
 10519.2  9.55996e-01
 10519.8  1.05139e+00
 10520.4  1.01070e+00
 10521.1  1.02621e+00
 10521.7  9.78414e-01
 10522.3  1.06002e+00
 10523.0  1.02579e+00
 10523.6  1.12724e+00
 10524.3  9.90233e-01
 10524.9  1.06827e+00
 10525.5  1.06766e+00
 10526.2  9.22598e-01
 10526.8  9.62198e-01
 10527.4  9.93206e-01
 10528.1  9.21814e-01
 10528.7  9.83697e-01
 10529.3  9.80247e-01
 10530.0  1.04600e+00
 10530.6  1.03962e+00
 10531.2  9.53647e-01
 10531.9  1.02532e+00
 10532.5  9.97899e-01
 10533.1  1.01841e+00
 10533.8  1.03164e+00
 10534.4  1.07357e+00
 10535.0  9.45031e-01
 10535.7  9.67598e-01
 10536.3  9.32716e-01
 10536.9  7.72457e-01
 10537.6  7.86072e-01
 10538.2  8.49199e-01
 10538.9  9.66601e-01
 10539.5  9.40154e-01
 10540.1  9.90898e-01
 10540.8  9.68505e-01
 10541.4  9.98901e-01
 10542.0  9.56762e-01
 10542.7  1.06050e+00
 10543.3  1.04640e+00
 10543.9  9.33936e-01
 10544.6  9.25779e-01
 10545.2  9.73723e-01
 10545.8  9.44905e-01
 10546.5  9.81394e-01
 10547.1  9.00248e-01
 10547.7  8.55642e-01
 10548.4  9.54785e-01
 10549.0  9.69135e-01
 10549.6  9.42471e-01
 10550.3  9.67752e-01
 10550.9  9.92233e-01
 10551.5  8.94013e-01
 10552.2  9.13210e-01
 10552.8  1.07862e+00
 10553.4  9.84683e-01
 10554.1  1.06201e+00
 10554.7  9.91150e-01
 10555.4  1.00936e+00
 10556.0  1.06174e+00
 10556.6  1.00139e+00
 10557.3  9.50860e-01
 10557.9  1.05841e+00
 10558.5  1.04393e+00
 10559.2  1.01427e+00
 10559.8  1.05282e+00
 10560.4  1.00448e+00
 10561.1  9.56205e-01
 10561.7  9.65161e-01
 10562.3  9.80150e-01
 10563.0  1.01982e+00
 10563.6  1.00442e+00
 10564.2  1.00251e+00
 10564.9  1.01142e+00
 10565.5  9.68781e-01
 10566.1  9.79830e-01
 10566.8  9.53069e-01
 10567.4  1.07510e+00
 10568.0  1.01950e+00
 10568.7  1.10168e+00
 10569.3  1.01445e+00
 10569.9  1.00563e+00
 10570.6  9.55523e-01
 10571.2  9.86349e-01
 10571.9  9.00882e-01
 10572.5  9.71461e-01
 10573.1  1.02409e+00
 10573.8  1.07556e+00
 10574.4  1.04458e+00
 10575.0  1.04753e+00
 10575.7  9.70535e-01
 10576.3  9.71696e-01
 10576.9  9.61192e-01
 10577.6  9.96548e-01
 10578.2  1.03299e+00
 10578.8  9.51864e-01
 10579.5  1.03765e+00
