#\*l[\oA]	F(\*l)
 10414.3  1.32838e+00
 10414.9  1.31241e+00
 10415.6  1.35349e+00
 10416.2  1.34933e+00
 10416.8  1.37838e+00
 10417.5  1.41450e+00
 10418.1  1.34334e+00
 10418.8  1.36782e+00
 10419.4  1.38142e+00
 10420.0  1.39918e+00
 10420.7  1.38435e+00
 10421.3  1.38768e+00
 10421.9  1.39180e+00
 10422.6  1.39386e+00
 10423.2  1.36036e+00
 10423.8  1.36699e+00
 10424.5  1.38719e+00
 10425.1  1.34163e+00
 10425.7  1.38036e+00
 10426.4  1.36642e+00
 10427.0  1.39633e+00
 10427.6  1.36526e+00
 10428.3  1.38521e+00
 10428.9  1.33311e+00
 10429.5  1.37313e+00
 10430.2  1.37216e+00
 10430.8  1.36375e+00
 10431.4  1.33645e+00
 10432.1  1.36764e+00
 10432.7  1.36071e+00
 10433.3  1.35631e+00
 10434.0  1.34636e+00
 10434.6  1.33910e+00
 10435.2  1.35061e+00
 10435.9  1.31858e+00
 10436.5  1.27650e+00
 10437.1  1.29772e+00
 10437.8  1.30953e+00
 10438.4  1.29911e+00
 10439.0  1.31769e+00
 10439.7  1.29196e+00
 10440.3  1.26827e+00
 10441.0  1.30641e+00
 10441.6  1.30855e+00
 10442.2  1.29337e+00
 10442.9  1.30655e+00
 10443.5  1.28106e+00
 10444.1  1.30828e+00
 10444.8  1.28787e+00
 10445.4  1.27814e+00
 10446.0  1.24649e+00
 10446.7  1.26557e+00
 10447.3  1.26989e+00
 10447.9  1.26906e+00
 10448.6  1.24763e+00
 10449.2  1.27119e+00
 10449.8  1.22804e+00
 10450.5  1.27398e+00
 10451.1  1.23344e+00
 10451.7  1.27072e+00
 10452.4  1.25677e+00
 10453.0  1.22926e+00
 10453.6  1.25029e+00
 10454.3  1.21551e+00
 10454.9  1.22356e+00
 10455.5  1.19746e+00
 10456.2  1.17850e+00
 10456.8  1.21438e+00
 10457.4  1.12877e+00
 10458.1  1.19234e+00
 10458.7  1.18632e+00
 10459.3  1.19538e+00
 10460.0  1.18832e+00
 10460.6  1.16612e+00
 10461.2  1.16611e+00
 10461.9  1.14927e+00
 10462.5  1.14243e+00
 10463.2  1.14751e+00
 10463.8  1.14142e+00
 10464.4  1.13305e+00
 10465.1  1.12507e+00
 10465.7  1.13825e+00
 10466.3  1.13877e+00
 10467.0  1.13725e+00
 10467.6  1.11055e+00
 10468.2  1.09849e+00
 10468.9  1.08330e+00
 10469.5  1.09390e+00
 10470.1  1.09405e+00
 10470.8  1.06828e+00
 10471.4  1.06363e+00
 10472.0  1.04438e+00
 10472.7  1.08146e+00
 10473.3  1.07834e+00
 10473.9  1.05526e+00
 10474.6  1.05395e+00
 10475.2  1.07627e+00
 10475.8  1.05875e+00
 10476.5  1.02943e+00
 10477.1  1.03415e+00
 10477.7  1.05912e+00
 10478.4  1.07337e+00
 10479.0  1.04465e+00
 10479.6  1.02815e+00
 10480.3  1.05767e+00
 10480.9  1.02781e+00
 10481.5  1.04133e+00
 10482.2  1.03504e+00
 10482.8  1.02913e+00
 10483.4  1.04532e+00
 10484.1  1.02076e+00
 10484.7  9.92338e-01
 10485.4  1.02852e+00
 10486.0  1.02528e+00
 10486.6  1.03183e+00
 10487.3  1.02031e+00
 10487.9  1.01813e+00
 10488.5  1.00192e+00
 10489.2  1.03129e+00
 10489.8  1.02939e+00
 10490.4  1.02222e+00
 10491.1  1.01307e+00
 10491.7  1.02740e+00
 10492.3  9.94330e-01
 10493.0  1.00695e+00
 10493.6  1.02915e+00
 10494.2  1.01627e+00
 10494.9  1.02378e+00
 10495.5  9.99473e-01
 10496.1  1.02102e+00
 10496.8  1.02310e+00
 10497.4  9.99319e-01
 10498.0  1.01205e+00
 10498.7  9.80648e-01
 10499.3  1.01761e+00
 10499.9  1.01171e+00
 10500.6  9.95318e-01
 10501.2  1.02348e+00
 10501.8  1.00440e+00
 10502.5  9.98578e-01
 10503.1  1.00949e+00
 10503.7  1.00817e+00
 10504.4  9.82296e-01
 10505.0  1.03995e+00
 10505.7  1.00043e+00
 10506.3  1.02845e+00
 10506.9  9.90636e-01
 10507.6  1.01049e+00
 10508.2  1.00625e+00
 10508.8  1.01781e+00
 10509.5  1.01576e+00
 10510.1  1.00570e+00
 10510.7  9.94746e-01
 10511.4  1.00244e+00
 10512.0  1.01984e+00
 10512.6  1.00494e+00
 10513.3  1.01720e+00
 10513.9  9.80127e-01
 10514.5  1.00994e+00
 10515.2  1.01214e+00
 10515.8  1.01335e+00
 10516.4  1.04193e+00
 10517.1  1.01432e+00
 10517.7  9.82840e-01
 10518.3  9.74131e-01
 10519.0  1.00723e+00
 10519.6  1.00735e+00
 10520.2  1.00287e+00
 10520.9  1.00488e+00
 10521.5  1.00708e+00
 10522.1  1.00614e+00
 10522.8  1.01840e+00
 10523.4  1.00701e+00
 10524.0  9.92677e-01
 10524.7  1.00372e+00
 10525.3  9.91952e-01
 10525.9  1.00914e+00
 10526.6  9.92932e-01
 10527.2  9.68979e-01
 10527.9  9.74240e-01
 10528.5  9.63015e-01
 10529.1  9.88474e-01
 10529.8  9.88829e-01
 10530.4  9.90112e-01
 10531.0  1.00995e+00
 10531.7  1.00438e+00
 10532.3  1.01613e+00
 10532.9  9.89406e-01
 10533.6  9.75970e-01
 10534.2  1.01054e+00
 10534.8  9.86176e-01
 10535.5  9.97429e-01
 10536.1  9.65628e-01
 10536.7  1.00477e+00
 10537.4  9.92885e-01
 10538.0  1.03924e+00
 10538.6  9.89809e-01
 10539.3  1.01514e+00
 10539.9  1.03561e+00
 10540.5  1.00638e+00
 10541.2  1.01062e+00
 10541.8  1.02055e+00
 10542.4  1.00784e+00
 10543.1  9.94683e-01
 10543.7  9.81330e-01
 10544.3  1.00684e+00
 10545.0  1.01516e+00
 10545.6  1.02140e+00
 10546.2  9.69092e-01
 10546.9  9.86535e-01
 10547.5  9.91454e-01
 10548.1  9.56066e-01
 10548.8  1.00065e+00
 10549.4  9.49779e-01
 10550.1  9.66592e-01
 10550.7  1.02272e+00
 10551.3  9.98622e-01
 10552.0  9.85343e-01
 10552.6  9.94649e-01
 10553.2  9.74899e-01
 10553.9  1.00079e+00
 10554.5  9.91060e-01
