#\*l[\oA]	F(\*l)
 10430.8  9.92246e-01
 10431.4  1.06147e+00
 10432.0  1.04601e+00
 10432.7  1.00355e+00
 10433.3  9.63053e-01
 10433.9  1.04466e+00
 10434.6  1.09214e+00
 10435.2  1.01404e+00
 10435.8  1.02504e+00
 10436.5  1.16095e+00
 10437.1  1.05673e+00
 10437.7  1.02812e+00
 10438.4  1.06677e+00
 10439.0  1.03298e+00
 10439.6  1.06338e+00
 10440.3  1.03303e+00
 10440.9  1.00146e+00
 10441.5  1.10150e+00
 10442.2  1.07105e+00
 10442.8  9.97736e-01
 10443.4  1.01658e+00
 10444.1  1.01668e+00
 10444.7  1.06571e+00
 10445.4  1.05642e+00
 10446.0  1.02889e+00
 10446.6  1.01006e+00
 10447.3  1.04665e+00
 10447.9  1.04926e+00
 10448.5  1.03332e+00
 10449.2  1.02257e+00
 10449.8  1.01807e+00
 10450.4  1.05110e+00
 10451.1  1.03483e+00
 10451.7  9.80778e-01
 10452.3  1.01217e+00
 10453.0  1.00823e+00
 10453.6  1.02081e+00
 10454.2  1.02120e+00
 10454.9  1.04550e+00
 10455.5  1.03690e+00
 10456.1  1.00520e+00
 10456.8  9.18714e-01
 10457.4  9.62843e-01
 10458.0  1.01287e+00
 10458.7  9.70764e-01
 10459.3  9.82384e-01
 10459.9  9.77308e-01
 10460.6  1.01610e+00
 10461.2  9.65630e-01
 10461.8  9.74376e-01
 10462.5  9.88893e-01
 10463.1  9.83077e-01
 10463.7  9.63158e-01
 10464.4  1.00178e+00
 10465.0  9.51183e-01
 10465.6  9.44994e-01
 10466.3  8.90424e-01
 10466.9  8.85070e-01
 10467.6  8.94911e-01
 10468.2  9.61324e-01
 10468.8  9.33304e-01
 10469.5  9.04119e-01
 10470.1  9.54835e-01
 10470.7  9.87905e-01
 10471.4  9.76814e-01
 10472.0  9.49609e-01
 10472.6  9.04812e-01
 10473.3  9.10848e-01
 10473.9  9.25434e-01
 10474.5  9.34547e-01
 10475.2  8.53378e-01
 10475.8  8.43196e-01
 10476.4  8.38671e-01
 10477.1  8.88687e-01
 10477.7  9.15193e-01
 10478.3  9.00441e-01
 10479.0  9.06631e-01
 10479.6  9.96473e-01
 10480.2  9.19999e-01
 10480.9  9.62090e-01
 10481.5  9.69903e-01
 10482.1  9.57691e-01
 10482.8  9.78827e-01
 10483.4  9.76361e-01
 10484.0  9.07320e-01
 10484.7  8.71417e-01
 10485.3  9.33647e-01
 10485.9  9.53267e-01
 10486.6  9.72740e-01
 10487.2  1.01115e+00
 10487.8  9.69327e-01
 10488.5  1.01242e+00
 10489.1  1.00992e+00
 10489.8  1.05730e+00
 10490.4  1.05185e+00
 10491.0  9.79968e-01
 10491.7  9.37715e-01
 10492.3  9.82204e-01
 10492.9  1.02708e+00
 10493.6  1.08456e+00
 10494.2  1.02484e+00
 10494.8  1.08702e+00
 10495.5  1.05986e+00
 10496.1  1.07483e+00
 10496.7  1.11630e+00
 10497.4  1.07062e+00
 10498.0  1.12947e+00
 10498.6  1.16188e+00
