#\*l[\oA]	F(\*l)
 10414.7  1.00128e+00
 10415.3  1.00846e+00
 10415.9  1.00673e+00
 10416.6  1.00587e+00
 10417.2  1.02121e+00
 10417.8  1.00590e+00
 10418.5  9.97473e-01
 10419.1  9.92251e-01
 10419.8  1.00302e+00
 10420.4  1.00812e+00
 10421.0  9.99930e-01
 10421.7  9.98321e-01
 10422.3  9.83074e-01
 10422.9  9.96971e-01
 10423.6  1.01192e+00
 10424.2  9.94062e-01
 10424.8  9.92336e-01
 10425.5  9.74762e-01
 10426.1  9.80375e-01
 10426.7  9.92390e-01
 10427.4  1.00349e+00
 10428.0  9.97752e-01
 10428.6  9.87495e-01
 10429.3  9.87732e-01
 10429.9  9.94919e-01
 10430.5  9.93381e-01
 10431.2  9.93312e-01
 10431.8  1.00352e+00
 10432.4  1.00795e+00
 10433.1  9.97901e-01
 10433.7  1.00987e+00
 10434.3  9.98160e-01
 10435.0  1.00331e+00
 10435.6  1.00136e+00
 10436.2  9.94685e-01
 10436.9  9.61187e-01
 10437.5  9.94266e-01
 10438.1  1.01489e+00
 10438.8  9.83467e-01
 10439.4  1.00132e+00
 10440.1  9.97549e-01
 10440.7  9.83169e-01
 10441.3  9.96160e-01
 10442.0  1.01458e+00
 10442.6  1.00073e+00
 10443.2  9.95791e-01
 10443.9  1.00934e+00
 10444.5  9.99779e-01
 10445.1  9.91234e-01
 10445.8  9.97272e-01
 10446.4  9.90445e-01
 10447.0  9.89482e-01
 10447.7  1.00216e+00
 10448.3  1.01674e+00
 10448.9  1.01115e+00
 10449.6  1.01999e+00
 10450.2  1.00951e+00
 10450.8  1.01107e+00
 10451.5  1.00149e+00
 10452.1  1.01208e+00
 10452.7  1.01015e+00
 10453.4  1.02782e+00
 10454.0  1.01704e+00
 10454.6  1.02329e+00
 10455.3  1.01716e+00
 10455.9  1.00817e+00
 10456.5  1.01570e+00
 10457.2  1.01079e+00
 10457.8  9.70081e-01
 10458.4  9.99074e-01
 10459.1  9.98949e-01
 10459.7  1.00683e+00
 10460.3  9.99502e-01
 10461.0  1.01626e+00
 10461.6  1.00301e+00
 10462.3  1.01745e+00
 10462.9  1.01012e+00
 10463.5  1.00109e+00
 10464.2  1.00648e+00
 10464.8  1.01750e+00
 10465.4  1.00569e+00
 10466.1  1.00627e+00
 10466.7  9.95418e-01
 10467.3  9.94958e-01
 10468.0  9.91450e-01
 10468.6  9.82847e-01
 10469.2  1.00294e+00
 10469.9  9.97367e-01
 10470.5  9.81357e-01
 10471.1  1.00837e+00
 10471.8  9.88304e-01
 10472.4  1.01255e+00
 10473.0  9.92792e-01
 10473.7  1.00974e+00
 10474.3  9.90229e-01
 10474.9  9.86217e-01
 10475.6  9.94451e-01
 10476.2  9.90424e-01
 10476.8  9.92385e-01
 10477.5  1.00659e+00
 10478.1  9.82324e-01
 10478.7  9.85550e-01
 10479.4  1.00000e+00
 10480.0  9.93044e-01
 10480.6  9.99259e-01
 10481.3  9.96477e-01
 10481.9  1.00774e+00
 10482.6  1.01003e+00
 10483.2  1.00260e+00
 10483.8  9.81728e-01
 10484.5  9.99444e-01
 10485.1  1.00124e+00
 10485.7  9.97207e-01
 10486.4  1.00175e+00
 10487.0  1.00296e+00
 10487.6  1.00924e+00
 10488.3  9.96387e-01
 10488.9  9.96871e-01
 10489.5  1.00153e+00
 10490.2  9.93725e-01
 10490.8  9.89407e-01
 10491.4  9.93628e-01
 10492.1  1.00403e+00
 10492.7  9.97220e-01
 10493.3  1.01439e+00
 10494.0  1.00655e+00
 10494.6  1.00777e+00
 10495.2  1.03855e+00
 10495.9  1.05464e+00
 10496.5  1.05864e+00
 10497.1  1.04074e+00
 10497.8  1.04987e+00
 10498.4  1.02195e+00
 10499.0  1.02770e+00
 10499.7  1.01489e+00
 10500.3  1.01026e+00
 10500.9  1.01740e+00
 10501.6  1.03601e+00
 10502.2  1.02720e+00
 10502.8  1.01706e+00
 10503.5  1.03077e+00
 10504.1  1.01518e+00
 10504.8  1.01539e+00
 10505.4  1.02033e+00
 10506.0  1.02538e+00
 10506.7  1.05977e+00
 10507.3  1.04213e+00
 10507.9  1.01199e+00
 10508.6  1.03585e+00
 10509.2  1.01596e+00
 10509.8  1.00689e+00
 10510.5  1.00236e+00
 10511.1  9.92687e-01
 10511.7  9.91181e-01
 10512.4  1.01589e+00
 10513.0  1.00501e+00
 10513.6  1.01371e+00
 10514.3  1.00823e+00
 10514.9  1.00578e+00
 10515.5  1.00391e+00
 10516.2  1.01220e+00
 10516.8  1.02233e+00
 10517.4  1.00835e+00
 10518.1  1.00695e+00
 10518.7  9.95739e-01
 10519.3  1.01606e+00
 10520.0  9.95457e-01
 10520.6  1.01445e+00
 10521.2  1.00661e+00
 10521.9  1.00970e+00
 10522.5  1.01598e+00
 10523.1  1.00759e+00
 10523.8  1.00086e+00
 10524.4  1.00584e+00
 10525.1  1.01832e+00
 10525.7  1.01267e+00
 10526.3  1.00941e+00
 10527.0  1.00490e+00
 10527.6  9.92238e-01
 10528.2  9.96613e-01
 10528.9  9.81300e-01
 10529.5  9.80744e-01
 10530.1  1.00559e+00
 10530.8  9.98110e-01
 10531.4  9.94202e-01
 10532.0  1.02019e+00
 10532.7  1.01203e+00
 10533.3  1.01711e+00
 10533.9  1.01849e+00
 10534.6  1.02231e+00
 10535.2  1.00515e+00
 10535.8  9.75155e-01
 10536.5  9.94536e-01
 10537.1  9.93148e-01
 10537.7  1.01178e+00
 10538.4  1.03443e+00
 10539.0  1.00129e+00
 10539.6  1.02109e+00
 10540.3  1.02621e+00
 10540.9  1.01771e+00
 10541.5  1.01323e+00
 10542.2  1.02252e+00
 10542.8  1.01112e+00
 10543.4  9.92734e-01
 10544.1  9.99735e-01
 10544.7  1.02129e+00
 10545.3  1.01155e+00
 10546.0  1.01198e+00
 10546.6  1.02347e+00
 10547.3  1.02281e+00
 10547.9  9.96300e-01
 10548.5  1.00848e+00
 10549.2  1.01498e+00
 10549.8  9.68181e-01
 10550.4  9.61495e-01
 10551.1  1.00929e+00
 10551.7  1.00092e+00
 10552.3  9.83016e-01
 10553.0  9.94277e-01
 10553.6  1.00120e+00
 10554.2  9.89504e-01
 10554.9  9.94801e-01
 10555.5  1.01396e+00
 10556.1  1.00128e+00
 10556.8  1.00866e+00
 10557.4  1.00971e+00
 10558.0  1.02621e+00
 10558.7  9.99164e-01
 10559.3  1.01595e+00
 10559.9  9.90012e-01
 10560.6  9.94142e-01
 10561.2  9.84786e-01
 10561.8  9.93472e-01
 10562.5  9.95974e-01
 10563.1  9.88025e-01
 10563.7  1.00019e+00
 10564.4  9.88061e-01
 10565.0  1.00964e+00
 10565.6  9.90411e-01
 10566.3  9.86431e-01
 10566.9  9.89908e-01
 10567.6  9.98075e-01
 10568.2  9.91336e-01
 10568.8  9.91118e-01
 10569.5  1.00775e+00
 10570.1  1.00043e+00
 10570.7  1.00589e+00
 10571.4  9.83889e-01
 10572.0  1.01466e+00
 10572.6  9.96726e-01
 10573.3  1.00199e+00
 10573.9  9.93842e-01
 10574.5  1.00382e+00
 10575.2  1.00947e+00
 10575.8  9.82902e-01
 10576.4  1.00219e+00
 10577.1  1.00184e+00
 10577.7  1.00476e+00
 10578.3  1.00073e+00
 10579.0  9.80589e-01
 10579.6  9.96819e-01
 10580.2  9.87697e-01
 10580.9  9.97131e-01
 10581.5  9.91917e-01
 10582.1  9.95264e-01
 10582.8  9.91627e-01
 10583.4  1.01874e+00
 10584.0  9.99852e-01
 10584.7  9.95324e-01
 10585.3  9.91200e-01
 10585.9  1.00105e+00
 10586.6  1.00105e+00
 10587.2  9.93131e-01
 10587.8  9.87107e-01
 10588.5  1.00245e+00
 10589.1  9.82391e-01
 10589.8  9.89295e-01
 10590.4  9.87812e-01
 10591.0  9.85373e-01
 10591.7  9.97492e-01
 10592.3  1.00559e+00
 10592.9  1.01229e+00
 10593.6  1.00325e+00
 10594.2  9.86569e-01
 10594.8  1.00348e+00
 10595.5  9.90700e-01
 10596.1  1.00153e+00
 10596.7  9.97224e-01
 10597.4  1.01098e+00
 10598.0  1.00198e+00
 10598.6  9.87412e-01
 10599.3  9.94867e-01
 10599.9  9.86185e-01
 10600.5  9.99434e-01
 10601.2  1.00342e+00
 10601.8  1.00040e+00
 10602.4  9.80285e-01
 10603.1  1.00452e+00
 10603.7  1.00532e+00
 10604.3  1.00381e+00
 10605.0  9.85670e-01
 10605.6  9.98437e-01
 10606.2  9.88985e-01
 10606.9  9.90898e-01
 10607.5  9.87770e-01
 10608.1  9.94378e-01
 10608.8  9.93585e-01
 10609.4  9.99601e-01
 10610.1  9.93671e-01
 10610.7  9.99875e-01
 10611.3  1.00127e+00
 10612.0  9.97339e-01
 10612.6  9.97836e-01
 10613.2  9.90343e-01
 10613.9  1.00344e+00
 10614.5  1.00260e+00
 10615.1  9.92934e-01
 10615.8  1.00628e+00
 10616.4  1.00226e+00
 10617.0  9.95440e-01
 10617.7  9.87559e-01
 10618.3  9.96189e-01
 10618.9  1.01751e+00
 10619.6  9.89056e-01
 10620.2  9.90223e-01
 10620.8  1.01221e+00
 10621.5  9.84395e-01
 10622.1  1.00579e+00
 10622.7  1.01894e+00
 10623.4  9.98462e-01
 10624.0  9.97672e-01
 10624.6  1.00195e+00
 10625.3  9.91838e-01
 10625.9  9.86378e-01
 10626.5  1.00294e+00
 10627.2  9.96861e-01
 10627.8  9.80749e-01
 10628.4  9.88054e-01
 10629.1  1.00697e+00
 10629.7  1.00466e+00
 10630.3  1.01408e+00
 10631.0  1.00405e+00
 10631.6  1.00272e+00
 10632.3  1.00277e+00
 10632.9  9.83145e-01
 10633.5  9.93428e-01
 10634.2  9.97787e-01
 10634.8  9.84972e-01
 10635.4  9.84968e-01
 10636.1  9.89160e-01
 10636.7  9.88101e-01
 10637.3  1.01266e+00
 10638.0  1.03184e+00
 10638.6  1.00421e+00
 10639.2  1.02519e+00
 10639.9  1.00372e+00
 10640.5  1.00123e+00
 10641.1  1.01057e+00
 10641.8  9.83266e-01
 10642.4  1.00012e+00
 10643.0  1.00022e+00
 10643.7  9.85481e-01
 10644.3  1.00907e+00
 10644.9  9.96596e-01
 10645.6  9.87511e-01
 10646.2  1.01630e+00
 10646.8  1.00451e+00
 10647.5  1.01210e+00
 10648.1  1.00851e+00
 10648.7  1.00988e+00
 10649.4  1.00577e+00
 10650.0  1.00195e+00
 10650.6  1.00059e+00
 10651.3  1.02640e+00
 10651.9  1.00066e+00
 10652.6  1.01097e+00
 10653.2  1.00730e+00
 10653.8  1.00167e+00
 10654.5  9.99893e-01
 10655.1  1.00265e+00
 10655.7  9.93116e-01
 10656.4  1.00647e+00
 10657.0  1.00130e+00
 10657.6  9.92806e-01
 10658.3  1.00528e+00
 10658.9  9.98118e-01
 10659.5  1.00959e+00
 10660.2  1.02326e+00
 10660.8  1.00877e+00
 10661.4  9.84850e-01
 10662.1  1.00355e+00
 10662.7  1.00239e+00
 10663.3  1.00106e+00
 10664.0  9.88378e-01
 10664.6  9.93354e-01
 10665.2  9.85053e-01
 10665.9  9.81955e-01
 10666.5  1.00006e+00
 10667.1  9.94644e-01
 10667.8  9.88187e-01
 10668.4  1.00532e+00
 10669.0  1.01623e+00
 10669.7  1.00284e+00
 10670.3  1.00512e+00
 10670.9  9.93848e-01
 10671.6  9.99741e-01
 10672.2  9.89278e-01
 10672.8  1.00115e+00
 10673.5  9.96971e-01
 10674.1  1.01737e+00
 10674.8  9.99791e-01
 10675.4  1.00043e+00
 10676.0  1.01037e+00
 10676.7  9.70205e-01
 10677.3  1.01503e+00
 10677.9  1.01017e+00
 10678.6  9.98196e-01
 10679.2  1.00707e+00
 10679.8  1.00677e+00
 10680.5  9.99912e-01
 10681.1  1.01113e+00
 10681.7  1.03216e+00
 10682.4  1.00894e+00
 10683.0  1.00164e+00
 10683.6  9.77895e-01
 10684.3  1.00090e+00
 10684.9  1.00433e+00
 10685.5  1.00316e+00
 10686.2  1.00303e+00
 10686.8  9.97714e-01
 10687.4  1.00893e+00
 10688.1  1.01821e+00
 10688.7  1.01064e+00
 10689.3  1.02508e+00
 10690.0  1.01704e+00
 10690.6  1.01459e+00
 10691.2  9.95866e-01
 10691.9  9.87562e-01
 10692.5  9.93027e-01
 10693.1  1.00967e+00
 10693.8  1.00531e+00
 10694.4  9.99187e-01
 10695.1  1.00678e+00
 10695.7  1.00369e+00
 10696.3  9.99319e-01
 10697.0  1.00100e+00
 10697.6  1.00512e+00
 10698.2  9.99122e-01
 10698.9  1.00222e+00
 10699.5  1.00387e+00
 10700.1  1.00600e+00
 10700.8  1.01349e+00
 10701.4  1.00648e+00
 10702.0  9.99667e-01
 10702.7  1.01189e+00
 10703.3  1.00824e+00
 10703.9  9.92831e-01
 10704.6  9.80859e-01
 10705.2  1.00441e+00
 10705.8  9.96220e-01
 10706.5  9.93116e-01
 10707.1  9.75076e-01
 10707.7  1.00366e+00
 10708.4  9.96040e-01
 10709.0  9.89184e-01
 10709.6  9.88872e-01
 10710.3  9.92164e-01
 10710.9  1.00662e+00
 10711.5  1.01598e+00
 10712.2  1.01096e+00
 10712.8  1.01141e+00
 10713.4  1.01965e+00
 10714.1  1.00526e+00
 10714.7  1.01191e+00
 10715.3  1.01087e+00
 10716.0  1.00884e+00
 10716.6  9.92901e-01
 10717.3  9.87122e-01
 10717.9  9.96020e-01
 10718.5  1.00551e+00
 10719.2  1.00222e+00
 10719.8  1.00578e+00
 10720.4  1.01166e+00
 10721.1  1.00889e+00
 10721.7  9.91066e-01
 10722.3  9.89809e-01
 10723.0  1.00650e+00
 10723.6  1.00824e+00
 10724.2  1.00501e+00
 10724.9  9.93367e-01
 10725.5  1.00134e+00
 10726.1  9.96824e-01
 10726.8  9.93016e-01
 10727.4  9.77186e-01
 10728.0  1.00899e+00
 10728.7  1.01522e+00
 10729.3  1.00789e+00
 10729.9  1.00984e+00
 10730.6  1.00878e+00
 10731.2  1.01249e+00
 10731.8  1.00631e+00
 10732.5  1.02118e+00
 10733.1  1.01731e+00
 10733.7  1.00645e+00
 10734.4  1.01427e+00
 10735.0  9.97008e-01
 10735.6  1.00733e+00
 10736.3  1.00624e+00
 10736.9  9.93393e-01
 10737.6  9.95142e-01
 10738.2  9.93459e-01
 10738.8  9.84264e-01
 10739.5  1.00680e+00
 10740.1  9.87483e-01
 10740.7  1.00001e+00
 10741.4  9.98310e-01
 10742.0  9.97626e-01
 10742.6  1.00653e+00
 10743.3  1.00717e+00
 10743.9  9.87726e-01
 10744.5  9.71011e-01
 10745.2  9.88150e-01
 10745.8  9.77054e-01
 10746.4  9.86168e-01
 10747.1  9.91197e-01
 10747.7  1.00170e+00
 10748.3  9.95178e-01
 10749.0  9.94995e-01
 10749.6  1.01619e+00
 10750.2  9.96865e-01
 10750.9  1.00621e+00
 10751.5  1.00987e+00
 10752.1  1.01408e+00
 10752.8  1.00838e+00
 10753.4  1.01394e+00
 10754.0  1.03466e+00
 10754.7  1.02477e+00
 10755.3  1.01242e+00
 10755.9  1.01568e+00
 10756.6  1.00806e+00
 10757.2  9.71409e-01
 10757.8  1.01856e+00
 10758.5  1.00821e+00
 10759.1  1.00225e+00
